,t,a,v_pro,v_stop,v_anti,t_anti
TX0155,0.181665364662,1.66446789783,8.4568780586,12.1688386286,10.6890430834,0.151724341386
TX0156,0.30762936315,0.592869247882,3.74545057105,9.08200298801,9.42887767586,0.135878596053
TX0159,0.179498325421,1.36903960909,5.02728883148,9.35084944268,7.08480896055,0.153394173196
TX0162,0.220217798138,0.654247788623,5.36138963263,10.2944657858,9.02010134399,0.137856287949
TX0169,0.215524539982,0.797737600931,7.64916661446,7.44545594235,8.15562196711,0.0905195447793
TX0172,0.193041059867,1.00633419,5.59006352052,7.45447439979,6.26871285315,0.114405392178
TX0173,0.114630494225,2.28536262125,7.12710805281,8.53294268337,9.14132960864,0.165132034654
TX0174,0.186393629355,0.9606454047,5.37164376455,6.49635135987,8.81985717874,0.151308596441
TX0175,0.195471609276,0.782993778657,5.83165717151,7.7870542882,10.4600637036,0.16111205523
TX0177,0.291160662443,0.894572336421,6.58004276773,11.8622435361,9.21956048962,0.139262712238
TX0178,0.131925061769,1.6731912773,6.04183414247,8.87795495626,6.69336754896,0.0881504640837
TX0179,0.209751402018,1.08635094768,5.66313450703,8.88464670414,8.46319801774,0.158025989214
TX0182,0.24554543051,0.68542344748,5.72942718808,8.33687738606,8.26810351721,0.159118906091
TX0184,0.144674622614,2.21087941684,7.84605726108,9.48463645776,8.25113992832,0.097311666031
TX0187,0.288063070305,0.548000792444,4.25183155017,9.71676078392,6.54286065857,0.135068444851
TX0189,0.208729654457,0.655613872051,6.06118513445,9.57570828186,7.90165805996,0.104628098115
TX0193,0.155279670255,1.19626412009,8.69620370983,8.65292619194,9.42142323195,0.104966698975
TX0194,0.204811892323,0.885212083755,6.11309628259,8.72805934972,9.64622046085,0.156314288761
TX0195,0.164400410833,1.02907471255,5.5308918257,9.11736817517,7.71980160588,0.161429865183
TX0198,0.170009417367,1.08448123382,5.61800950038,8.21914829009,9.15689963961,0.146363132982
TX0204,0.268105543398,0.823585285613,3.79923856104,11.5499456943,3.24751713897,0.133769083935
UM0012,0.213401768613,0.575844065536,6.83550434205,6.87746983083,10.0934263363,0.115946144358
UM0014,0.182660933882,0.758943751396,5.54359323543,5.44509440362,6.58842524083,0.107575566912
UM0017,0.210539492786,0.70334950142,6.75740264515,10.3161894813,9.18631233157,0.145547585079
UM0023,0.195368142256,1.2180014378,9.73048566192,14.2944114086,13.7458098812,0.129886273016
UM0024,0.153063833639,2.04135663373,9.60229316501,12.6784882164,14.1891667229,0.16414786102
UM0029,0.162635625955,1.54742917464,7.48495098318,9.9808896067,11.4733665337,0.126768571823
UM0031,0.198312943518,0.799714050928,6.46228332528,8.326281265,11.3733596333,0.120511958774
UM0032,0.298835681106,0.573300021112,4.69360620585,7.08716941364,5.36492276743,0.171213828826
UM0035,0.146795655498,1.62125678451,7.67149368126,10.1227883894,11.3051429183,0.154143234207
UM0040,0.211580080855,1.34814631291,11.0006721501,15.2553909289,10.0555827771,0.105704719164
UM0065,0.197464924328,1.14314773799,9.8880278778,14.2038530305,9.58705006792,0.0866164748044
UM0066,0.212535202597,1.16903031541,6.29962806029,9.77081165821,8.3375521419,0.162238335005
UM0073,0.178520107998,1.26825933201,7.21844120951,10.1573651907,11.5408584692,0.166411636829
UM0074,0.19353743523,1.05507515039,10.0874667,12.7891711857,13.4862487008,0.118987232862
UM0078,0.141443653685,1.58464289671,7.31276858167,10.1969714397,10.6075636424,0.139430451015
UM0079,0.168094933488,0.891889760581,8.44126710517,11.2036711868,13.6061836932,0.136505026742
UM0080,0.17363247894,1.31812794183,7.27662171785,10.30532719,7.79400174798,0.0958638683927
UM0082,0.21004342725,0.808491637804,5.58923863422,10.1223893767,8.19205603593,0.127081469985
UM0083,0.261468754068,0.700425178115,6.00238202274,14.9716304167,8.33397273528,0.090090754595
UM0085,0.195203120345,1.22699845076,6.14597785142,8.72331869049,4.91653957357,0.109464474456
UM0088,0.177937042007,1.09442459568,7.57230638417,10.7647786286,15.0919749284,0.164253010906
UM0089,0.23233275252,0.779200679597,3.32223853185,5.95627594385,2.95322421139,0.0732570152466
UM0091,0.165987521073,0.765380293044,5.73380250928,5.95541436487,8.12868571365,0.170576602938
UM0092,0.180188061154,1.06608317825,6.644650455,9.29333028593,9.22920602776,0.145150641415
UM0094,0.227435158841,0.853301675058,5.44227201017,10.6607574152,8.26552647271,0.143246341809
UM0096,0.197005602918,1.19611843158,6.79889634469,9.42812734258,8.86522777955,0.146361255594
UM0097,0.24883322626,0.768092904981,8.16091509418,15.8490169952,10.0725522569,0.123604206562
UM0100,0.170321167795,1.64477964928,6.97130205829,11.1200543717,9.52180532682,0.167051954438
UM0101,0.217001750373,0.9150619794,7.02197828086,9.56773411404,9.66545483248,0.146268907903
UM0103,0.116914334787,2.00641966619,11.0468900873,13.3654323842,15.7386853872,0.1210697043
UM0110,0.164508394692,1.13025489965,6.93592350921,10.1806416804,12.3315224524,0.136398050894
UM0111,0.173244574118,1.56733012139,9.83451556482,13.5415525384,14.5762683764,0.171993575297
UM0113,0.230480682459,0.688226519228,5.54664359038,10.3995983507,10.7308213343,0.132974776321
UM0115,0.16718542818,1.29454204544,8.49191841151,10.4960348763,11.6660297956,0.125855600789
UM0116,0.250931878416,1.33006517539,7.64450618602,11.8650714369,9.63472536289,0.135613913537
UM0117,0.126276144652,1.62745665854,7.7545596137,9.72317719264,13.305972355,0.18032831255
UM0118,0.186456535584,1.06280571062,6.77856094977,10.252755527,11.6600767865,0.140988352271
UM0119,0.196397864329,1.20872394993,8.36261777428,13.4717505764,15.1765897103,0.163611231586
UM0120,0.169591465583,1.03553394425,9.15259683618,12.6703976837,14.0534134661,0.0835443484169
UM0121,0.206456732465,1.64194060281,7.3033937578,11.0619513583,8.06397422784,0.134534946
